batchId,startFecha,startHora,startFechaHoraISO,endFecha,endHora,endFechaHoraISO,pn,piezasTotales,startAccum,endAccum,stations_json
D09262025S3C1,9/26/2025,22:30:00,2025-09-26T22:30:00,9/27/2025,07:00:00,2025-09-27T07:00:00,"WG REA FORD CA030",817,5,819,"[{""station"":""620"",""ok"":908,""nok"":0},{""station"":""730"",""ok"":911,""nok"":5},{""station"":""731"",""ok"":910,""nok"":0},{""station"":""750"",""ok"":910,""nok"":0},{""station"":""810"",""ok"":909,""nok"":0},{""station"":""915"",""ok"":914,""nok"":0},{""station"":""940"",""ok"":904,""nok"":8},{""station"":""960"",""ok"":850,""nok"":15},{""station"":""CHW"",""ok"":907,""nok"":26},{""station"":""CCC"",""ok"":906,""nok"":1},{""station"":""MAT"",""ok"":910,""nok"":0},{""station"":""EOL"",""ok"":817,""nok"":29}]"
D09272025S1C1,9/27/2025,07:00:00,2025-09-27T07:00:00,9/27/2025,15:00:00,2025-09-27T15:00:00,"WG REA FORD CA030",698,0,698,"[{""station"":""620"",""ok"":743,""nok"":0},{""station"":""730"",""ok"":748,""nok"":1},{""station"":""731"",""ok"":747,""nok"":0},{""station"":""750"",""ok"":745,""nok"":0},{""station"":""810"",""ok"":745,""nok"":0},{""station"":""915"",""ok"":741,""nok"":0},{""station"":""940"",""ok"":728,""nok"":8},{""station"":""960"",""ok"":717,""nok"":0},{""station"":""CHW"",""ok"":746,""nok"":13},{""station"":""CCC"",""ok"":743,""nok"":3},{""station"":""MAT"",""ok"":746,""nok"":2},{""station"":""EOL"",""ok"":698,""nok"":18}]"
D09272025S2C1,9/27/2025,15:00:00,2025-09-27T15:00:00,9/27/2025,22:30:00,2025-09-27T22:30:00,"WG REA FORD CA030",915,700,914,"[{""station"":""620"",""ok"":956,""nok"":9},{""station"":""730"",""ok"":993,""nok"":0},{""station"":""731"",""ok"":953,""nok"":42},{""station"":""750"",""ok"":954,""nok"":0},{""station"":""810"",""ok"":951,""nok"":1},{""station"":""915"",""ok"":962,""nok"":0},{""station"":""940"",""ok"":943,""nok"":7},{""station"":""960"",""ok"":926,""nok"":4},{""station"":""CHW"",""ok"":969,""nok"":1},{""station"":""CCC"",""ok"":965,""nok"":4},{""station"":""MAT"",""ok"":952,""nok"":0},{""station"":""EOL"",""ok"":915,""nok"":11}]"
D09272025S3C1,9/27/2025,22:30:00,2025-09-27T22:30:00,9/28/2025,07:00:00,2025-09-28T07:00:00,"WG REA FORD CA030",0,914,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D09282025S1C1,9/28/2025,07:00:00,2025-09-28T07:00:00,9/28/2025,15:00:00,2025-09-28T15:00:00,"WG REA FORD CA030",0,0,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D09282025S2C1,9/28/2025,15:00:00,2025-09-28T15:00:00,9/28/2025,22:30:00,2025-09-28T22:30:00,"WG REA FORD CA030",0,0,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D09282025S3C1,9/28/2025,22:30:00,2025-09-28T22:30:00,9/29/2025,07:00:00,2025-09-29T07:00:00,"WG REA FORD CA030",0,0,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":1,""nok"":0},{""station"":""731"",""ok"":1,""nok"":0},{""station"":""750"",""ok"":1,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":1,""nok"":0},{""station"":""EOL"",""ok"":0,""nok"":0}]"
D09292025S1C1,9/29/2025,07:00:00,2025-09-29T07:00:00,9/29/2025,7:54:46 AM,2025-09-29T7:54:46 AM,"WG REA FORD CA030",21,1,21,"[{""station"":""620"",""ok"":12,""nok"":0},{""station"":""730"",""ok"":14,""nok"":0},{""station"":""731"",""ok"":14,""nok"":0},{""station"":""750"",""ok"":15,""nok"":0},{""station"":""810"",""ok"":15,""nok"":0},{""station"":""915"",""ok"":14,""nok"":0},{""station"":""940"",""ok"":22,""nok"":0},{""station"":""960"",""ok"":16,""nok"":1},{""station"":""CHW"",""ok"":12,""nok"":1},{""station"":""CCC"",""ok"":12,""nok"":0},{""station"":""MAT"",""ok"":15,""nok"":0},{""station"":""EOL"",""ok"":21,""nok"":0}]"
D09292025S1C2,9/29/2025,7:55:46 AM,2025-09-29T7:55:46 AM,9/29/2025,9:58:46 AM,2025-09-29T9:58:46 AM,"WG REA FORD CA030 REWORK NO BRANSON",8,0,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":12,""nok"":15},{""station"":""960"",""ok"":8,""nok"":1},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":8,""nok"":0}]"
D09292025S1C3,9/29/2025,9:59:46 AM,2025-09-29T9:59:46 AM,9/29/2025,15:00:00,2025-09-29T15:00:00,"WG REA FORD CA030",536,0,536,"[{""station"":""620"",""ok"":544,""nok"":3},{""station"":""730"",""ok"":549,""nok"":0},{""station"":""731"",""ok"":535,""nok"":4},{""station"":""750"",""ok"":535,""nok"":0},{""station"":""810"",""ok"":539,""nok"":1},{""station"":""915"",""ok"":555,""nok"":0},{""station"":""940"",""ok"":551,""nok"":2},{""station"":""960"",""ok"":542,""nok"":1},{""station"":""CHW"",""ok"":551,""nok"":1},{""station"":""CCC"",""ok"":549,""nok"":2},{""station"":""MAT"",""ok"":535,""nok"":0},{""station"":""EOL"",""ok"":536,""nok"":0}]"
D09292025S2C1,9/29/2025,15:00:00,2025-09-29T15:00:00,9/29/2025,5:04:46 PM,2025-09-29T5:04:46 PM,"WG REA FORD CA030",248,536,248,"[{""station"":""620"",""ok"":261,""nok"":1},{""station"":""730"",""ok"":264,""nok"":0},{""station"":""731"",""ok"":273,""nok"":0},{""station"":""750"",""ok"":271,""nok"":0},{""station"":""810"",""ok"":267,""nok"":0},{""station"":""915"",""ok"":244,""nok"":0},{""station"":""940"",""ok"":243,""nok"":1},{""station"":""960"",""ok"":243,""nok"":2},{""station"":""CHW"",""ok"":260,""nok"":6},{""station"":""CCC"",""ok"":260,""nok"":0},{""station"":""MAT"",""ok"":272,""nok"":0},{""station"":""EOL"",""ok"":248,""nok"":1}]"
D09292025S2C2,9/29/2025,5:05:46 PM,2025-09-29T5:05:46 PM,9/29/2025,22:30:00,2025-09-29T22:30:00,"WG REA FORD CA029",740,0,740,"[{""station"":""620"",""ok"":757,""nok"":3},{""station"":""730"",""ok"":757,""nok"":1},{""station"":""731"",""ok"":757,""nok"":0},{""station"":""750"",""ok"":757,""nok"":0},{""station"":""810"",""ok"":758,""nok"":7},{""station"":""915"",""ok"":763,""nok"":0},{""station"":""940"",""ok"":754,""nok"":4},{""station"":""960"",""ok"":749,""nok"":0},{""station"":""CHW"",""ok"":760,""nok"":3},{""station"":""CCC"",""ok"":760,""nok"":0},{""station"":""MAT"",""ok"":756,""nok"":1},{""station"":""EOL"",""ok"":740,""nok"":2}]"
D09292025S3C1,9/29/2025,22:30:00,2025-09-29T22:30:00,9/30/2025,07:00:00,2025-09-30T07:00:00,"WG REA FORD CA029",1194,743,1192,"[{""station"":""620"",""ok"":1246,""nok"":5},{""station"":""730"",""ok"":1247,""nok"":3},{""station"":""731"",""ok"":1247,""nok"":0},{""station"":""750"",""ok"":1247,""nok"":0},{""station"":""810"",""ok"":1225,""nok"":3},{""station"":""915"",""ok"":1251,""nok"":1},{""station"":""940"",""ok"":1222,""nok"":5},{""station"":""960"",""ok"":1211,""nok"":0},{""station"":""CHW"",""ok"":1240,""nok"":2},{""station"":""CCC"",""ok"":1251,""nok"":0},{""station"":""MAT"",""ok"":1231,""nok"":0},{""station"":""EOL"",""ok"":1194,""nok"":4}]"
D09302025S1C1,9/30/2025,07:00:00,2025-09-30T07:00:00,9/30/2025,15:00:00,2025-09-30T15:00:00,"WG REA FORD CA029",1057,1193,1,"[{""station"":""620"",""ok"":1058,""nok"":4},{""station"":""730"",""ok"":1060,""nok"":16},{""station"":""731"",""ok"":1060,""nok"":0},{""station"":""750"",""ok"":1060,""nok"":0},{""station"":""810"",""ok"":1059,""nok"":2},{""station"":""915"",""ok"":1078,""nok"":0},{""station"":""940"",""ok"":1067,""nok"":5},{""station"":""960"",""ok"":1059,""nok"":1},{""station"":""CHW"",""ok"":1067,""nok"":5},{""station"":""CCC"",""ok"":1064,""nok"":3},{""station"":""MAT"",""ok"":1061,""nok"":1},{""station"":""EOL"",""ok"":1057,""nok"":1}]"
D09302025S2C1,9/30/2025,15:00:00,2025-09-30T15:00:00,9/30/2025,22:30:00,2025-09-30T22:30:00,"WG REA FORD CA029",1062,4,1063,"[{""station"":""620"",""ok"":1077,""nok"":0},{""station"":""730"",""ok"":1078,""nok"":1},{""station"":""731"",""ok"":1078,""nok"":0},{""station"":""750"",""ok"":1078,""nok"":0},{""station"":""810"",""ok"":1078,""nok"":3},{""station"":""915"",""ok"":1082,""nok"":0},{""station"":""940"",""ok"":1076,""nok"":1},{""station"":""960"",""ok"":1069,""nok"":3},{""station"":""CHW"",""ok"":1083,""nok"":5},{""station"":""CCC"",""ok"":1078,""nok"":6},{""station"":""MAT"",""ok"":1077,""nok"":0},{""station"":""EOL"",""ok"":1062,""nok"":5}]"
